"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
0.396,0,0.0049999999,0,0,0,0.396,1.553635,3.6008103e-05,5128.1152,0.99330246,-0.46923852,-0.00033266301,0,73.8936
0.398,0,0.0049999999,0,0,0,0.398,1.5518301,3.5985453e-05,5125.1401,0.98874247,-0.468676,-0.00032982649,0,73.8507
0.40000001,0,0.0049999999,0,0,0,0.40000001,1.55004,3.5962999e-05,5122.1904,0.98419648,-0.46811801,-0.00032701949,0,73.808105
0.40200001,0,0.0049999999,0,0,0,0.40200001,1.54827,3.5940699e-05,5119.2598,0.97966397,-0.46756399,-0.00032385899,0,73.7659
0.40400001,0,0.0049999999,0,0,0,0.40400001,1.546515,3.5918601e-05,5116.355,0.97514498,-0.46701699,-0.000320728,0,73.724052
0.40599999,0,0.0049999999,0,0,0,0.40599999,1.544775,3.5896701e-05,5113.48,0.97063947,-0.466474,-0.000318009,0,73.682602
0.40799999,0,0.0049999999,0,0,0,0.40799999,1.5430501,3.5874953e-05,5110.6299,0.96614748,-0.46593499,-0.00031531852,0,73.641449
0.41,0,0.0049999999,0,0,0,0.41,1.54134,3.5853402e-05,5107.7998,0.96166897,-0.46540052,-0.00031265651,0,73.600601
0.412,0,0.0049999999,0,0,0,0.412,1.53965,3.5832047e-05,5104.9902,0.95720351,-0.46487051,-0.000310023,0,73.560249
0.414,0,0.0049999999,0,0,0,0.414,1.5379751,3.5810852e-05,5102.2051,0.95275104,-0.4643445,-0.00030703499,0,73.520248
0.41600001,0,0.0049999999,0,0,0,0.41600001,1.53631,3.5789802e-05,5099.4448,0.94831097,-0.46382451,-0.00030407449,0,73.480453
0.41800001,0,0.0049999999,0,0,0,0.41800001,1.5346551,3.576895e-05,5096.7051,0.94388402,-0.46330899,-0.00030190451,0,73.440849
0.41999999,0,0.0049999999,0,0,0,0.41999999,1.53302,3.574825e-05,5093.9849,0.93946999,-0.46279502,-0.00029937999,0,73.401703
0.42199999,0,0.0049999999,0,0,0,0.42199999,1.5314,3.5727702e-05,5091.29,0.93506801,-0.46228701,-0.00029650101,0,73.3629
0.42399999,0,0.0049999999,0,0,0,0.42399999,1.52979,3.5707351e-05,5088.6152,0.93067849,-0.46178353,-0.00029441051,0,73.324348
0.426,0,0.0049999999,0,0,0,0.426,1.528195,3.5687153e-05,5085.96,0.92630202,-0.46128201,-0.00029196503,0,73.286148
0.428,0,0.0049999999,0,0,0,0.428,1.526615,3.5667101e-05,5083.3301,0.92193753,-0.46078649,-0.00028916402,0,73.248245
0.43000001,0,0.0049999999,0,0,0,0.43000001,1.52505,3.5647201e-05,5080.7197,0.91758454,-0.46029449,-0.0002867695,0,73.210648
0.43200001,0,0.0049999999,0,0,0,0.43200001,1.523495,3.5627447e-05,5078.1299,0.91324401,-0.4598065,-0.00028440051,0,73.173302
0.43399999,0,0.0049999999,0,0,0,0.43399999,1.52195,3.5607849e-05,5075.5596,0.90891552,-0.45932251,-0.00028205552,0,73.1362
0.43599999,0,0.0049999999,0,0,0,0.43599999,1.5204201,3.5588448e-05,5073.0098,0.90459847,-0.45884299,-0.00027973551,0,73.099449
0.43799999,0,0.0049999999,0,0,0,0.43799999,1.5189049,3.5569199e-05,5070.4805,0.90029347,-0.45836699,-0.00027744001,0,73.063049
0.44,0,0.0049999999,0,0,0,0.44,1.5174,3.5550049e-05,5067.9648,0.89600003,-0.4578945,-0.00027516799,0,73.026848
0.442,0,0.0049999999,0,0,0,0.442,1.5159049,3.5531048e-05,5065.4697,0.89171803,-0.45742601,-0.00027291948,0,72.990845
0.44400001,0,0.0049999999,0,0,0,0.44400001,1.514425,3.5512199e-05,5062.9951,0.88744748,-0.45696101,-0.000270694,0,72.9552
0.44600001,0,0.0049999999,0,0,0,0.44600001,1.512955,3.5493449e-05,5060.54,0.88318849,-0.45649952,-0.0002688705,0,72.9198
0.44800001,0,0.0049999999,0,0,0,0.44800001,1.511495,3.5474848e-05,5058.105,0.878941,-0.45603999,-0.00026706999,0,72.884598
0.44999999,0,0.0049999999,0,0,0,0.44999999,1.5100501,3.54564e-05,5055.6851,0.87470448,-0.45558399,-0.0002645335,0,72.849747
0.45199999,0,0.0049999999,0,0,0,0.45199999,1.508615,3.5438097e-05,5053.2803,0.87047851,-0.45513397,-0.00026201899,0,72.815147
0.454,0,0.0049999999,0,0,0,0.454,1.507195,3.5419951e-05,5050.895,0.86626351,-0.45468801,-0.000260284,0,72.780853
0.456,0,0.0049999999,0,0,0,0.456,1.505785,3.5401899e-05,5048.5303,0.86205995,-0.454243,-0.00025857001,0,72.746796
0.458,0,0.0049999999,0,0,0,0.458,1.50438,3.538395e-05,5046.1797,0.85786748,-0.45380151,-0.00025649852,0,72.712845
0.46000001,0,0.0049999999,0,0,0,0.46000001,1.50299,3.5366153e-05,5043.8447,0.8536855,-0.45336348,-0.00025444751,0,72.679245
