"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.58999997,0,0.0049999999,0,0,0,0.58999997,0.0001733095,-0.00015053351,-3.3314151e-08,0
0.59200001,0,0.0049999999,0,0,0,0.59200001,0.000171907,-0.00015026549,-3.31388e-08,0
0.59399998,0,0.0049999999,0,0,0,0.59399998,0.0001705105,-0.00014999899,-3.2963953e-08,0
0.59600002,0,0.0049999999,0,0,0,0.59600002,0.00016912,-0.000149734,-3.2806248e-08,0
0.59799999,0,0.0049999999,0,0,0,0.59799999,0.00016773501,-0.00014947049,-3.26323e-08,0
0.60000002,0,0.0049999999,0,0,0,0.60000002,0.000166356,-0.0001492085,-3.245885e-08,0
0.602,0,0.0049999999,0,0,0,0.602,0.0001649825,-0.0001489475,-3.2302552e-08,0
0.60399997,0,0.0049999999,0,0,0,0.60399997,0.00016361501,-0.00014868801,-3.2146701e-08,0
0.60600001,0,0.0049999999,0,0,0,0.60600001,0.00016225351,-0.00014843,-3.1991348e-08,0
0.60799998,0,0.0049999999,0,0,0,0.60799998,0.0001608975,-0.00014817249,-3.1828101e-08,0
0.61000001,0,0.0049999999,0,0,0,0.61000001,0.00015954699,-0.00014791649,-3.1665252e-08,0
0.61199999,0,0.0049999999,0,0,0,0.61199999,0.00015820199,-0.00014766201,-3.1511199e-08,0
0.61400002,0,0.0049999999,0,0,0,0.61400002,0.00015686301,-0.00014740901,-3.1349302e-08,0
0.616,0,0.0049999999,0,0,0,0.616,0.00015553,-0.00014715749,-3.1187852e-08,0
0.61799997,0,0.0049999999,0,0,0,0.61799997,0.0001542025,-0.0001469065,-3.1043498e-08,0
0.62,0,0.0049999999,0,0,0,0.62,0.00015288001,-0.0001466565,-3.08995e-08,0
0.62199998,0,0.0049999999,0,0,0,0.62199998,0.000151563,-0.00014640851,-3.07476e-08,0
0.62400001,0,0.0049999999,0,0,0,0.62400001,0.00015025199,-0.0001461615,-3.0596148e-08,0
0.62599999,0,0.0049999999,0,0,0,0.62599999,0.00014894651,-0.0001459155,-3.0445051e-08,0
0.62800002,0,0.0049999999,0,0,0,0.62800002,0.0001476465,-0.000145671,-3.0294348e-08,0
0.63,0,0.0049999999,0,0,0,0.63,0.000146352,-0.0001454275,-3.0144051e-08,0
0.63200003,0,0.0049999999,0,0,0,0.63200003,0.0001450625,-0.00014518551,-3.000245e-08,0
0.634,0,0.0049999999,0,0,0,0.634,0.0001437785,-0.0001449445,-2.9861202e-08,0
0.63599998,0,0.0049999999,0,0,0,0.63599998,0.0001425005,-0.00014470451,-2.9712e-08,0
0.63800001,0,0.0049999999,0,0,0,0.63800001,0.000141228,-0.00014446551,-2.9571449e-08,0
0.63999999,0,0.0049999999,0,0,0,0.63999999,0.0001399605,-0.0001442275,-2.943125e-08,0
0.64200002,0,0.0049999999,0,0,0,0.64200002,0.000138698,-0.000143991,-2.92914e-08,0
0.64399999,0,0.0049999999,0,0,0,0.64399999,0.00013744101,-0.00014375549,-2.91602e-08,0
0.64600003,0,0.0049999999,0,0,0,0.64600003,0.00013619001,-0.00014352149,-2.9020999e-08,0
0.648,0,0.0049999999,0,0,0,0.648,0.00013494401,-0.0001432885,-2.887375e-08,0
0.64999998,0,0.0049999999,0,0,0,0.64999998,0.000133703,-0.0001430565,-2.8735201e-08,0
0.65200001,0,0.0049999999,0,0,0,0.65200001,0.00013246751,-0.00014282551,-2.8605299e-08,0
0.65399998,0,0.0049999999,0,0,0,0.65399998,0.0001312375,-0.0001425955,-2.84757e-08,0
0.65600002,0,0.0049999999,0,0,0,0.65600002,0.0001300125,-0.000142367,-2.8346399e-08,0
0.65799999,0,0.0049999999,0,0,0,0.65799999,0.0001287925,-0.000142139,-2.8209101e-08,0
0.66000003,0,0.0049999999,0,0,0,0.66000003,0.00012757799,-0.00014191199,-2.8072151e-08,0
0.662,0,0.0049999999,0,0,0,0.662,0.0001263685,-0.0001416865,-2.79438e-08,0
0.66399997,0,0.0049999999,0,0,0,0.66399997,0.0001251645,-0.00014146199,-2.7815801e-08,0
0.66600001,0,0.0049999999,0,0,0,0.66600001,0.00012396599,-0.0001412385,-2.768815e-08,0
0.66799998,0,0.0049999999,0,0,0,0.66799998,0.00012277201,-0.000141016,-2.7552449e-08,0
0.67000002,0,0.0049999999,0,0,0,0.67000002,0.000121583,-0.000140795,-2.741705e-08,0
0.67199999,0,0.0049999999,0,0,0,0.67199999,0.00012039951,-0.00014057499,-2.72987e-08,0
0.67400002,0,0.0049999999,0,0,0,0.67400002,0.000119221,-0.00014035549,-2.71807e-08,0
0.676,0,0.0049999999,0,0,0,0.676,0.00011804749,-0.00014013701,-2.705465e-08,0
0.67799997,0,0.0049999999,0,0,0,0.67799997,0.000116879,-0.0001399195,-2.69289e-08,0
0.68000001,0,0.0049999999,0,0,0,0.68000001,0.000115716,-0.000139703,-2.680345e-08,0
0.68199998,0,0.0049999999,0,0,0,0.68199998,0.000114558,-0.0001394875,-2.6686649e-08,0
0.68400002,0,0.0049999999,0,0,0,0.68400002,0.0001134045,-0.000139273,-2.6570099e-08,0
0.68599999,0,0.0049999999,0,0,0,0.68599999,0.0001122565,-0.0001390595,-2.64455e-08,0
0.68800002,0,0.0049999999,0,0,0,0.68800002,0.0001111135,-0.000138847,-2.6321249e-08,0
0.69,0,0.0049999999,0,0,0,0.69,0.000109975,-0.00013863601,-2.6197199e-08,0
0.69199997,0,0.0049999999,0,0,0,0.69199997,0.0001088415,-0.000138426,-2.60817e-08,0
0.69400001,0,0.0049999999,0,0,0,0.69400001,0.00010771349,-0.00013821601,-2.5974799e-08,0
0.69599998,0,0.0049999999,0,0,0,0.69599998,0.00010659049,-0.000138007,-2.5859851e-08,0
0.69800001,0,0.0049999999,0,0,0,0.69800001,0.000105472,-0.00013779951,-2.5736799e-08,0
0.69999999,0,0.0049999999,0,0,0,0.69999999,0.0001043585,-0.000137593,-2.5622249e-08,0
0.70200002,0,0.0049999999,0,0,0,0.70200002,0.00010325,-0.000137387,-2.5508001e-08,0
0.704,0,0.0049999999,0,0,0,0.704,0.0001021465,-0.00013718201,-2.5385699e-08,0
0.70599997,0,0.0049999999,0,0,0,0.70599997,0.000101048,-0.00013697799,-2.527195e-08,0
0.708,0,0.0049999999,0,0,0,0.708,9.9954501e-05,-0.00013677499,-2.516675e-08,0
0.70999998,0,0.0049999999,0,0,0,0.70999998,9.886585e-05,-0.000136573,-2.5061802e-08,0
