"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.74800003,0,0.0049999999,0,0,0,0.74800003,1e-15,0,158024,0.11901,-0.1866485,-4.3166201e-06,0
0.75,0,0.0049999999,0,0,0,0.75,1e-15,0,158024,0.117917,-0.1865515,-4.2966699e-06,0
0.75199997,0,0.0049999999,0,0,0,0.75199997,1e-15,0,158024,0.1168245,-0.1864545,-4.2739998e-06,0
0.75400001,0,0.0049999999,0,0,0,0.75400001,1e-15,0,158024,0.1157335,-0.18635851,-4.253835e-06,0
0.75599998,0,0.0049999999,0,0,0,0.75599998,1e-15,0,158024,0.114643,-0.1862625,-4.249835e-06,0
0.75800002,0,0.0049999999,0,0,0,0.75800002,1e-15,0,158024,0.1135515,-0.186166,-4.2330903e-06,0
0.75999999,0,0.0049999999,0,0,0,0.75999999,1e-15,0,158024,0.112459,-0.18607101,-4.2080851e-06,0
0.76200002,0,0.0049999999,0,0,0,0.76200002,1e-15,0,158024,0.1113685,-0.18597651,-4.1972198e-06,0
0.764,0,0.0049999999,0,0,0,0.764,1e-15,0,158024,0.1102805,-0.1858815,-4.1858402e-06,0
0.76599997,0,0.0049999999,0,0,0,0.76599997,1e-15,0,158024,0.10919251,-0.18578699,-4.179165e-06,0
0.76800001,0,0.0049999999,0,0,0,0.76800001,1e-15,0,158024,0.10810401,-0.185693,-4.1754447e-06,0
0.76999998,0,0.0049999999,0,0,0,0.76999998,1e-15,0,158024,0.107018,-0.185599,-4.160655e-06,0
0.77200001,0,0.0049999999,0,0,0,0.77200001,1e-15,0,158024,0.105935,-0.18550551,-4.1439398e-06,0
0.77399999,0,0.0049999999,0,0,0,0.77399999,1e-15,0,158024,0.104853,-0.1854125,-4.1334151e-06,0
0.77600002,0,0.0049999999,0,0,0,0.77600002,1e-15,0,158024,0.103773,-0.18532,-4.1186049e-06,0
0.778,0,0.0049999999,0,0,0,0.778,1e-15,0,158024,0.1026985,-0.18522751,-4.0967698e-06,0
0.77999997,0,0.0049999999,0,0,0,0.77999997,1e-15,0,158024,0.1016295,-0.1851345,-4.0731047e-06,0
